index,time,id,c-text
12,Fri Oct 25 14:10:00 2024,28881,['Собрали для вас дайджест событий В МИФИ пройдут Математические бои 26 октября 16 15 Семинар посвященный 100 летию В М Галицкого Главный корпус МИФИ Читальный зал библиотеки 28 октября 16 00 Подробнее В НИЯУ МИФИ начинается II Научная школа для учителей Путь к звездам 28 октября Подробнее Стартовал прием заявок на технологический конкурс НТИ Up Great Автономный поиск Регистрация до 2 ноября Подробнее Самое яркое событие в мире композитов в России музей АТОМ встречает Фестиваль Композиты без границ club222702918 Музей АТОМ на ВДНХ 16 17 ноября Сотрудников МИФИ приглашают на Всероссийский форум преподавателей высшей школы Академическое сообщество 18 19 ноября Регистрация до 14 ноября Подробнее']
13,Fri Oct 25 12:30:00 2024,28874,['Пятничная рубрика Алфавит МИФИста Команда Дирекции по работе с партнерами и выпускниками выпустила Алфавит МИФИста это набор из 28 открыток в обложке раскраске которые вместе представляют многоликий образ НИЯУ МИФИ Это не просто буквы это целая вселенная символов воплощённых в уникальных иллюстрациях Четвертая буква алфавита МИФИста Г Главный корпус место где все начинается и все происходит Г гамма излучение вид электромагнитного излучения характеризующийся чрезвычайно малой длиной волны и чрезвычайно большими трудностями у студентов Добавляйте в комментариях еще символов МИФИ на букву Г Напоминаем что автор интересного комментария получает открытку в подарок Все остальные желающие могут приобрести открытки в кофе поинтах МИФИ а полный набор открыток в обложке раскраске в Г 210 Условия приобретения можно уточнить на стойках Atomic coffee']
14,Fri Oct 25 10:30:00 2024,28871,['МИФИ усиливает меры поддержки молодых семей В университете создается система единого окна по поддержке молодых семей Об этом сообщила проректор НИЯУ МИФИ Ирина Балакина на встрече состоявшейся в среду в читальном зале библиотеки']
15,Fri Oct 25 09:45:00 2024,28868,['Роботы наступают Да да Чемпиона Битва роботов уже совсем близко Второй отборочный этап состоится 26 октября с 10 00 до 20 00 48 команд из России Индии Казахстана Ирана и Китая поборются за денежный приз Зрелищное соревнование мирового уровня можно посмотреть онлайн 26 октября будет проходить прямая трансляция нужно всего лишь кликнуть по ссылке Напомним что среди участников есть и МИФИсты с проворным роботом Те 104 Поддержим наших ребят']
16,Thu Oct 24 16:02:00 2024,28867,['Аркадий Тараненко качество наших измерений соответствует мировым Физики из МИФИ являются активными участниками экспериментов на ускорительном комплексе NICA Nuclotron based Ion Collider fAсility в Объединенном Институте Ядерных Исследований г Дубна Они уже приняли участие в первом физическом сеансе эксперимента BM Baryonic Matter at Nuclotron и сейчас активно участвуют в подготовке первых экспериментов на установке MPD Multi Purpose Detector начало которых запланировано на конец 2025 начало 2026 года Подробнее о работе МИФИстов на коллайдере NICA читайте интервью по ссылке ниже с доцентом кафедры экспериментальных методов ядерной физики МИФИ заместителем руководителя коллаборации MPD Аркадием Тараненко']
18,Thu Oct 24 13:00:01 2024,28863,['Собрали для вас дайджест конкурсов и грантов Всероссийский научно популярный конкурс Наука Территория героев стартует 31 октября Подробнее Конкурс на получение именных стипендий Минобрнауки Прием заявок до 1 ноября Подробнее Стипендиальный конкурс Владимира Потанина на 2024 2025 учебный год для магистрантов Подать заявки можно до 23 часов 59 минут МСК 18 ноября 2024 г Подробнее']
19,Thu Oct 24 12:07:00 2024,28862,['Знакомим с проектами Технологического акселератора В МИФИ стартовал третий цикл Акселератора который продлится до конца года Десять команд выбранных для участия в программе уже начали обучение и работу с трекерами и в декабре представят свои доработанные проекты В этом цикле участвуют сразу три разработки в области медицины Именно с них мы и начнем серию постов о проектах TIRKE одноразовый уретроскоп который предназначен для малоинвазивного лечения мочекаменной болезни В настоящее время в России используются только импортные приборы Инновационная разработка участников Акселератора позволит сократить стандартное время операции в три раза с 45 60 минут до 20 минут Также уменьшается травматичность и время восстановления Командой изготовлен прототип проведены успешные испытания in vitro и получено одобрение врачей Живая ткань хирургический тренажер состоящий из обработанной ткани органов животных напечатаннных на 3D принтере элементов сосудистой анатомии и специального наполнителя межбрюшинного пространства Модель позволяет молодым врачам практиковаться в эндоскопической хирургии в максимально приближенных к реальности условиях В тренажере заинтересованы вузы и учебные центры клиник У команды уже есть 2 запатентованные разработки в 2026 году планируется выйти на первые серийные продажи Система поддержки врача для оказания медицинской помощи пациентам с образованиями щитовидной железы Разработка автоматизирует диагностику узлового зоба встречающегося у 50 людей старше 50 лет ИИ ассистент врача радиолога анализирует снимки и данные цитологии а после выдает рекомендации и проект заключения Система снижает субъективность оценок и повышает их точность Решение востребовано среди медицинских центров которым команда планирует продавать лицензии на пользование своей разработкой О других командах Акселератора в следующих постах Ставьте лайки и пишите в комментариях какой из проектов показался вам самым интересным']
20,Thu Oct 24 11:06:19 2024,28860,['Мифические гонщики на Битве роботов Команда МИФИ Мифические гонщики приняла участие в чемпионате Битва роботов международном событии где лучшие технологии со всего мира демонстрируют свои достижения Те 104 разработка команды Мифические гонщики Его плюсы высокая скорость и маневренность и это несмотря на вес в 105 кг По периметру корпуса установлены датчики которые определяют положение соперника что обеспечивает точность ударов Основное оружие машины барабанный спиннер с зазубринами который вращается со скоростью 4500 об мин Пожелаем ребятам удачи Те 104 разработка команды Мифические гонщики из университета МИФИ']
21,Thu Oct 24 10:00:02 2024,28858,['Команда МИФИ стала участником четвертого потока образовательной программы Голос поколения Проректоры преподаватели 12 15 октября в Пятигорске в Центре знаний Машук прошел четвертый поток программы Голос поколения Проректоры преподаватели Мероприятие проводится Министерством науки и высшего образования Российской Федерации при поддержке Федерального агентства по делам молодежи для преподавателей вузов и сотрудников занимающихся молодежной политикой и воспитательной работой в вузах Четвертый поток собрал в Пятигорске 233 участника из 33 вузов и 2 филиалов головных вузов не только Минобрнауки но и других учредителей Основной целью нового сезона программы является активизация участия преподавателей вузов в воспитательной работе со студентами формирование единого воспитательного пространства университетов создание сообщества единомышленников держателей смыслов воспитательной деятельности от ректора вуза до преподавателя и учебно вспомогательного персонала На старте мероприятия заместитель министра науки и высшего образования Российской Федерации Ольга Петрова обратилась к участникам программы с приветственным словом а также прочла лекцию Педагог стратегический капитал государства В своем выступлении она подчеркнула что новый командный формат участия в программе должен послужить дополнительным импульсом для активного включения научно педагогических работников вузов в дело воспитания студенческой молодежи Команда нашего университета была одной из самых представительных на потоке В ее состав вошли 11 представителей как преподавательского корпуса МИФИ так и представители блока молодежной политики На протяжении четырех дней делегация НИЯУ МИФИ вместе с другими командами слушала лекции ведущих экспертов в сфере воспитания и его правовых аспектов участвовала в деловой игре по созданию рабочей программы воспитания вуза а также иммерсивной игре и спектакле вошла в тройку лучших по результатам заключительной викторины на тему педагогики Как отметила участник программы начальник отдела развития института международных отношений преподаватель курса Основы российской государственности Эсса Цишба Программа оказалась уникальным и вдохновляющим опытом позволившим собраться на одной площадке преподавателям различных дисциплин и сотрудникам молодежной политики нашего университета Кроме того что мы имели возможность укрепить связи по воспитательной работе внутри вуза Прекрасный опыт был в знакомстве с командами других университетов Особенно ценным для меня оказалось то что полученные знания и опыт можно будет применить на практике как в преподавательской деятельности так и в общении со студентами В целом я считаю что программа Голос поколения Преподаватели проректоры это отличная возможность выйти из будничного ритма работы и обменяться опытом с коллегами со всей страны Программа Голос поколения на этом не заканчивается Уже 20 21 ноября на площадке НИЯУ МИФИ пройдет ее преподавательский трек для 200 участников из вузов различных регионов России']
22,Thu Oct 24 09:19:51 2024,28857,['Сегодня в МИФИ состоится отраслевой семинар по промышленной наработке Pu 238 Директор ИПЯТ Эдуард Глаговский приглашает на семинар в видеообращении']
23,Wed Oct 23 18:40:00 2024,28851,['Третий танец кольцо на палец как проходит Мифический Бал в университете Рейвы оверсайз диджейский пульт А может лучше финская полька смокинг скрипка Да МИФИсты могут быть разными сначала они слэмятся на научных фестивалях а потом приглашают дам на Московскую кадриль Такое стало возможно благодаря club179142633 Мифическому Балу где даже новичок научится классно двигаться и найдет себе пару О любимом танце МИФИстов контакте партнеров и Ариане Гранде рассказала организатор бала Анастасия Дудкина Читать в Дзен']
24,Wed Oct 23 17:25:00 2024,28850,['Ответы на все твои вопросы мы собрали в нашей рубрике Задай вопрос ученому Антон Попов доцент кафедры ядерной медицины 85 инженерно физического института биомедицины МИФИ научный сотрудник занимается разработкой новых физических методов получения наноматериалов которые используются в диагностике и терапии онкологических заболеваний В нашей рубрике Антон Попов ответил на следующие вопросы Планирует ли лаборатория эксперименты с новыми материалами для изготовления наночастиц Будут ли в МИФИ проводиться опыты на животных и какие Как получая частицы с помощью лазерной абляции можно контролировать их форму']
25,Wed Oct 23 16:25:00 2024,28848,['Дорога к звездам Сергей Авдеев о полетах в космос и учебе в МИФИ В честь Всемирной недели космоса Петр Калмыков руководитель отдела обработки спутниковых данных выпускник Т факультета 2007 г побеседовал в подкасте Код МИФИста с выпускником МИФИ космонавтом Сергеем Авдеевым Он совершил три космических полета общей продолжительностью 747 суток установил мировой рекорд по длительности пребывания на орбите 10 раз выходил в открытый космос']
26,Wed Oct 23 15:18:00 2024,28843,['Пиар продвижение инженеров и университетов В МИФИ проходит программа дополнительного образования Инженерный университет в новом медиа пространстве технологии коммуникаций Это первая в России программа по коммуникациям с инженерным подходом По словам организаторов проект станет началом формирования сообщества коммуникаторов и управленцев в пиаре в части продвижения инженерных профессий и университетов в целом За четыре дня участники пройдут учебный план в котором представлены модули по идеологии инженерного образования стратегии коммуникаций информационной повестке маркетингу и контенту работе в телеграм и антикризисному реагированию Изюминка обучения иммерсивные технологии Эксперты из МИФИ также представят опыт и кейсы нашего университета На одной из встреч ректор МИФИ Владимир Шевченко высказал свое мнение о роли пресс службы университета в качестве ключевого связующего звена между различными сегментами общества Ректор МИФИ подчеркнул что пресс служба имеет важное значение в установлении связи между школьниками их семьями предпринимательским сообществом индустрией и государством ФОИВ Каждая из упомянутых сторон имеет свои собственные интересы и точки зрения однако существуют области пересечения где их интересы сходятся Именно пресс служба МИФИ согласно В И Шевченко должна стремиться укреплять эти связи передавая информацию о событиях и достижениях каждого из участников и стремясь объединить их в общих усилиях Образовательная программа организована МИФИ совместно с МИА Россия сегодня при поддержке digital партнера системного интегратора Паравеб']
27,Wed Oct 23 13:55:00 2024,28833,['Зачем Microsoft Google и Amazon заключают соглашения с атомными электростанциями и поможет ли это получить энергию для работы с ИИ Комментируют эксперты МИФИ В последнее время крупные корпорации заключают соглашения с операторами и проектировщиками атомных реакторов чтобы развивать центры обработки данных которые предоставляют вычислительные услуги крупным и малым предприятиям Объяснить решение международных корпораций решили эксперты МИФИ Александр Путилов декан факультета бизнес информатики и управления комплексными системами МИФИ Роман Душкин старший преподаватель Института интеллектуальных кибернетических систем МИФИ Георгий Тихомиров заместитель директора Института ядерной энергетики и технологий МИФИ Подробнее по ссыдке ниже']
29,Wed Oct 23 12:48:59 2024,28830,['С 22 по 23 октября в МИФИ проходит II Всероссийская научно техническая конференция Кибернетика и информационная безопасность В КИБ 2024 участвуют преподаватели научные работники аспиранты студенты представители вузов предприятий корпораций и госучреждений Кстати конференция проходит в год когда Институт интеллектуальных кибернетических систем ИИКС МИФИ празднует юбилей кузнеце кадров в области информационных технологий и информационной безопасности 70 лет С приветственным словом на открытии конференции выступил ректор МИФИ Владимир Шевченко Тематика связанная с информационной безопасностью многомерна появляется огромное количество новых вызовов продиктованных реалиями современного мира развитием искусственного интеллекта квантовой криптографии разработкой новых инструментов кибермошенничества И наша задача на эти вызовы отвечать стараясь обеспечить информационную безопасность в самом широком смысле слова сказал Владимир Шевченко Подробнее здесь']
30,Tue Oct 22 17:12:08 2024,28829,['Лекции преподавателей МИФИ теперь доступны в интернете В Интернете заработал сайт Лекторий МИФИ открытая база видеозаписеи лекции и семинаров от преподавателеи нашего университета На сайте имеются записи более 300 лекций и семинаров по 25 учебным курсам Среди них лекции по общей физике математике теоретической физике математической физике дискретной математике экспериментальной физике взаимодействию плазмы с поверхностью и другим учебным предметам В частности на сайте можно услышать лекции и семинары профессора кафедры высшей математики Андрея Костина доцента кафедры теоретической ядерной физики Сергея Муравьева доцента кафедры прикладной математики Михаила Сухарева доцента кафедры высшей математики Михаила Сучкова старшего преподавателя кафедры общей физики Владимир Шилака Лекции предназначены для студентов бакалавриата разных курсов технических и естественно научных специальностей любых вузов но подойдут и для любознательных школьников Впрочем в настоящее время создатели сайта во главе с заместителем директора Института лазерных и плазменных технологий НИЯУ МИФИ Павлом Рябовым планируют создать специальный раздел для школьников Аудитория Лектория МИФИ в настоящее время насчитывает более 300 тысяч уникальных пользователей У Лектория МИФИ также есть свой канал в ютубе где видеоматериалов еще больше чем на сайте более 600']
